date,tickets
0178-02-07,1390
0178-02-28,590
0178-10-27,968
0178-11-08,860
0178-12-29,704
1681-04-14,1186
1681-04-15,233
1681-04-16,636
1681-04-17,464
1681-04-18,1034
1681-04-19,229
1681-04-20,1612
1681-04-21,230
1681-04-22,686
1681-04-23,328
1681-04-24,616
1681-04-25,484
1681-04-26,598
1681-04-27,649
1681-04-28,414
1681-04-29,379
1681-04-30,500
1681-05-01,612
1681-05-02,626
1681-05-03,468
1681-05-04,688
1681-05-05,436
1681-05-06,262
1681-05-07,250
1681-05-08,429
1681-05-09,373
1681-05-10,150
1681-05-11,331
1681-05-12,246
1681-05-13,917
1681-05-14,420
1681-05-16,535
1681-05-17,722
1681-05-18,430
1681-05-19,327
1681-05-20,588
1681-05-21,716
1681-05-22,462
1681-05-23,209
1681-05-24,510
1681-05-26,806
1681-05-27,570
1681-05-28,469
1681-05-29,474
1681-05-30,260
1681-05-31,558
1681-06-01,333
1681-06-02,590
1681-06-03,144
1681-06-04,506
1681-06-06,412
1681-06-07,185
1681-06-08,792
1681-06-10,282
1681-06-11,242
1681-06-12,642
1681-06-13,1094
1681-06-14,678
1681-06-15,1166
1681-06-16,303
1681-06-17,502
1681-06-18,361
1681-06-19,742
1681-06-20,348
1681-06-21,472
1681-06-22,423
1681-06-23,436
1681-06-24,624
1681-06-25,684
1681-06-26,216
1681-06-27,363
1681-06-28,740
1681-06-29,506
1681-06-30,644
1681-07-01,405
1681-07-02,778
1681-07-03,448
1681-07-04,854
1681-07-05,272
1681-07-06,721
1681-07-07,456
1681-07-08,614
1681-07-09,346
1681-07-10,564
1681-07-11,1284
1681-07-12,756
1681-07-13,1544
1681-07-14,242
1681-07-15,600
1681-07-16,318
1681-07-17,1368
1681-07-18,606
1681-07-19,262
1681-07-20,1214
1681-07-21,866
1681-07-22,793
1681-07-23,474
1681-07-24,705
1681-07-25,804
1681-07-26,284
1681-07-27,1058
1681-07-28,1090
1681-07-29,297
1681-07-30,275
1681-07-31,450
1681-08-01,414
1681-08-02,276
1681-08-03,517
1681-08-04,104
1681-08-05,266
1681-08-06,154
1681-08-07,274
1681-08-08,246
1681-08-09,364
1681-08-10,402
1681-08-11,318
1681-08-12,378
1681-08-13,760
1681-08-14,206
1681-08-16,459
1681-08-17,546
1681-08-18,130
1681-08-19,178
1681-08-20,404
1681-08-21,165
1681-08-22,154
1681-08-23,147
1681-08-24,180
1681-08-25,344
1681-08-26,155
1681-08-29,228
1681-08-30,586
1681-08-31,396
1681-09-01,199
1681-09-02,306
1681-09-09,862
1681-09-10,574
1681-09-11,780
1681-09-12,772
1681-09-14,1244
1681-09-15,344
1681-09-16,556
1681-09-17,401
1681-09-18,754
1681-09-19,616
1681-09-20,279
1681-09-21,1284
1681-09-22,518
1681-09-23,369
1681-09-24,698
1681-09-25,694
1681-09-26,724
1681-09-27,750
1681-09-28,1126
1681-09-29,840
1681-09-30,770
1681-10-01,305
1681-10-02,980
1681-10-03,399
1681-10-04,184
1681-10-05,1608
1681-10-06,385
1681-10-07,686
1681-10-08,297
1681-10-09,803
1681-10-10,165
1681-10-11,380
1681-10-12,155
1681-10-13,678
1681-10-14,275
1681-10-15,409
1681-10-16,439
1681-10-17,620
1681-10-18,382
1681-10-19,1164
1681-10-20,400
1681-10-21,732
1681-10-22,688
1681-10-23,341
1681-10-24,506
1681-10-25,304
1681-10-26,713
1681-10-27,385
1681-10-28,627
1681-10-29,842
1681-10-30,327
1681-10-31,207
1681-11-02,874
1681-11-03,1150
1681-11-04,241
1681-11-05,642
1681-11-06,396
1681-11-07,192
1681-11-08,336
1681-11-09,282
1681-11-10,257
1681-11-11,202
1681-11-12,776
1681-11-13,317
1681-11-14,458
1681-11-15,355
1681-11-16,686
1681-11-17,516
1681-11-18,421
1681-11-19,444
1681-11-20,504
1681-11-21,454
1681-11-22,361
1681-11-23,758
1681-11-24,704
1681-11-25,415
1681-11-26,822
1681-11-27,504
1681-11-28,388
1681-11-29,370
1681-11-30,1306
1681-12-01,1054
1681-12-02,914
1681-12-03,338
1681-12-04,467
1681-12-05,1240
1681-12-06,940
1681-12-07,1336
1681-12-09,802
1681-12-10,351
1681-12-11,473
1681-12-12,324
1681-12-13,748
1681-12-14,320
1681-12-15,924
1681-12-16,246
1681-12-17,894
1681-12-18,677
1681-12-19,278
1681-12-20,792
1681-12-21,312
1681-12-22,646
1681-12-23,542
1681-12-26,624
1681-12-27,912
1681-12-28,781
1681-12-29,665
1681-12-30,541
1681-12-31,312
1682-01-01,908
1682-01-02,241
1682-01-03,984
1682-01-04,701
1682-01-05,551
1682-01-06,1440
1682-01-07,616
1682-01-08,694
1682-01-09,360
1682-01-10,588
1682-01-11,224
1682-01-12,1418
1682-01-13,409
1682-01-14,805
1682-01-15,272
1682-01-16,1662
1682-01-17,589
1682-01-18,1730
1682-01-19,530
1682-01-20,1114
1682-01-21,398
1682-01-22,587
1682-01-23,1424
1682-01-24,912
1682-01-25,1714
1682-01-26,625
1682-01-27,521
1682-01-28,1232
1682-01-29,483
1682-01-30,1166
1682-01-31,1878
1682-02-01,1444
1682-02-03,325
1682-02-04,387
1682-02-05,1626
1682-02-06,452
1682-02-07,477
1682-02-08,486
1682-02-09,532
1682-02-10,399
1682-02-11,209
1682-02-12,155
1682-02-13,161
1682-02-14,148
1682-02-15,187
1682-02-16,697
1682-02-17,529
1682-02-18,753
1682-02-19,418
1682-02-20,692
1682-02-21,312
1682-02-22,881
1682-02-23,1016
1682-02-24,806
1682-02-25,868
1682-02-26,497
1682-02-27,1026
1682-02-28,503
1682-03-01,1412
1682-03-02,412
1682-03-03,970
1682-03-04,303
1682-03-05,940
1682-03-06,443
1682-03-07,872
1682-03-08,790
1682-03-09,690
1682-03-10,1342
1682-03-11,858
1682-03-12,493
1682-03-13,1146
1682-03-14,407
1682-03-15,1070
1682-03-16,337
1682-03-17,1162
1682-04-07,1496
1682-04-08,444
1682-04-09,1254
1682-04-10,1192
1682-04-11,363
1682-04-12,1528
1682-04-13,342
1682-04-14,846
1682-04-17,524
1682-04-18,392
1682-04-19,467
1682-04-20,712
1682-04-21,309
1682-04-22,864
1682-04-23,269
1682-04-24,516
1682-04-25,368
1683-03-29,490
1683-04-05,366
1683-04-10,320
1683-04-26,804
1683-04-27,371
1683-04-28,684
1683-04-29,516
1683-04-30,726
1683-05-01,553
1683-05-02,754
1683-05-03,294
1683-05-04,734
1683-05-05,476
1683-05-06,1084
1683-05-07,618
1683-05-08,756
1683-05-09,720
1683-05-10,325
1683-05-11,522
1683-05-12,761
1683-05-13,538
1683-05-14,520
1683-05-15,672
1683-05-16,457
1683-05-17,420
1683-05-18,375
1683-05-19,492
1683-05-20,303
1683-05-21,502
1683-05-22,275
1683-05-23,414
1683-05-24,262
1683-05-25,310
1683-05-26,253
1683-05-28,672
1683-05-29,215
1683-05-30,570
1683-05-31,143
1683-06-01,322
1683-06-02,221
1683-06-03,202
1683-06-04,358
1683-06-05,278
1683-06-07,388
1683-06-08,462
1683-06-09,886
1683-06-10,245
1683-06-11,396
1683-06-12,122
1683-06-13,500
1683-06-14,144
1683-06-15,490
1683-06-16,340
1683-06-18,470
1683-06-20,532
1683-06-21,84
1683-06-22,392
1683-06-23,287
1683-06-24,668
1683-06-25,121
1683-06-26,384
1683-06-27,724
1683-06-28,169
1683-06-29,566
1683-06-30,426
1683-07-01,846
1683-07-02,542
1683-07-03,682
1683-07-04,1022
1683-07-05,264
1683-07-09,449
1683-07-10,159
1683-07-11,437
1683-07-12,180
1683-07-13,475
1683-07-14,188
1683-07-15,268
1683-07-16,530
1683-07-17,192
1683-07-18,458
1683-07-19,177
1683-07-20,351
1683-07-21,159
1683-07-22,197
1683-07-23,371
1683-07-24,183
1683-07-25,352
1683-07-26,172
1683-07-27,206
1683-07-28,548
1683-07-29,260
1683-08-20,1034
1683-08-23,444
1683-08-24,1320
